Country,GDP per capita,Life satisfaction
Brazil,8670.0,6.4
Mexico,9009.28,6.5
Russia,9054.91,5.8
Hungary,12239.89,5.6
Poland,12495.33,6.1
Latvia,13618.57,5.9
Lithuania,14210.28,5.9
Slovak Republic,15991.74,6.2
Czech Republic,17256.92,6.7
Estonia,17288.08,5.7
Greece,18064.29,5.4
Portugal,19121.59,5.4
Slovenia,20732.48,5.9
Spain,25864.72,6.3
Korea,27195.2,5.9
Italy,29866.58,6.0
Japan,32485.55,5.9
Israel,35343.34,7.2
New Zealand,37044.89,7.3
France,37675.01,6.5
Belgium,40106.63,6.9
Germany,40996.51,7.0
Finland,41973.99,7.6
Canada,43331.96,7.4
Netherlands,43603.12,7.4
Austria,43724.03,7.1
United Kingdom,43770.69,6.8
Sweden,49866.27,7.3
Australia,50961.87,7.3
United States,55805.2,6.9
Norway,74822.11,7.6
Switzerland,80675.31,7.5
Luxembourg,101994.09,6.9
